INFO:root:Generating grammar tables from /usr/lib/python2.7/lib2to3/Grammar.txt
INFO:root:Generating grammar tables from /usr/lib/python2.7/lib2to3/PatternGrammar.txt
INFO:root:episode: 0/1000, score: 1.0, epsilone: 0.9, timestep: 258
INFO:root:episode: 1/1000, score: 3.0, epsilone: 0.9, timestep: 313
INFO:root:episode: 2/1000, score: 0.0, epsilone: 0.89, timestep: 177
INFO:root:episode: 3/1000, score: 2.0, epsilone: 0.89, timestep: 269
INFO:root:episode: 4/1000, score: 0.0, epsilone: 0.88, timestep: 170
INFO:root:episode: 5/1000, score: 3.0, epsilone: 0.88, timestep: 345
INFO:root:episode: 6/1000, score: 3.0, epsilone: 0.87, timestep: 355
INFO:root:episode: 7/1000, score: 2.0, epsilone: 0.87, timestep: 290
INFO:root:episode: 8/1000, score: 3.0, epsilone: 0.86, timestep: 349
INFO:root:episode: 9/1000, score: 4.0, epsilone: 0.86, timestep: 424
INFO:root:episode: 10/1000, score: 0.0, epsilone: 0.86, timestep: 183
INFO:root:episode: 11/1000, score: 3.0, epsilone: 0.85, timestep: 335
INFO:root:episode: 12/1000, score: 0.0, epsilone: 0.85, timestep: 173
INFO:root:episode: 13/1000, score: 3.0, epsilone: 0.84, timestep: 360
INFO:root:episode: 14/1000, score: 3.0, epsilone: 0.84, timestep: 347
INFO:root:episode: 15/1000, score: 0.0, epsilone: 0.83, timestep: 206
INFO:root:episode: 16/1000, score: 2.0, epsilone: 0.83, timestep: 273
INFO:root:episode: 17/1000, score: 3.0, epsilone: 0.83, timestep: 368
INFO:root:episode: 18/1000, score: 3.0, epsilone: 0.82, timestep: 379
INFO:root:episode: 19/1000, score: 0.0, epsilone: 0.82, timestep: 204
INFO:root:episode: 20/1000, score: 1.0, epsilone: 0.81, timestep: 257
INFO:root:episode: 21/1000, score: 1.0, epsilone: 0.81, timestep: 262
INFO:root:episode: 22/1000, score: 2.0, epsilone: 0.81, timestep: 293
INFO:root:episode: 23/1000, score: 4.0, epsilone: 0.8, timestep: 433
INFO:root:episode: 24/1000, score: 0.0, epsilone: 0.8, timestep: 182
